,Unnamed: 0,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
22,23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,92,79,81,-4,9,58,309,14,7,83
1,2,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92
13,14,Otro Trago - Remix,Sech,panamanian pop,176,79,73,-2,6,76,288,7,20,87
23,24,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91
15,16,No Guidance (feat. Drake),Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82
10,11,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93
16,17,LA CANCIÓN,J Balvin,latin,176,65,75,-6,11,43,243,15,32,90
40,41,Higher Love,Kygo,edm,104,68,69,-7,10,40,228,2,3,88
36,37,Otro Trago,Sech,panamanian pop,176,70,75,-5,11,62,226,14,34,91
34,35,Never Really Over,Katy Perry,dance pop,100,88,77,-5,32,39,224,19,6,89
